event;start_time;completion_time;arrival<incoming>;arrival<outgoing>;q1<incoming>;q1<outgoing>;r1<incoming>;r1<outgoing>
job_arrival;0.0;5.11;{'job': 1};{'job': 2};;{'job': 1};;
job_arrival;5.11;6.3;{'job': 2};{'job': 3};;{'job': 2};;
job_arrival;6.3;7.72;{'job': 3};{'job': 4};;{'job': 3};;
job_arrival;7.72;7.9;{'job': 4};{'job': 5};;{'job': 4};;
job_arrival;7.9;21.0;{'job': 5};{'job': 6};;{'job': 5};;
transportation;7.9;7.9;;;{'job': 1};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;7.9;7.9;;;{'job': 2};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;7.9;7.9;;;{'job': 3};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;7.9;27.9;;;{'job': 4};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;21.0;23.58;{'job': 6};{'job': 7};;{'job': 6};;
job_arrival;23.58;29.03;{'job': 7};{'job': 8};;{'job': 7};;
job_arrival;29.03;45.84;{'job': 8};{'job': 9};;{'job': 8};;
job_arrival;45.84;51.12;{'job': 9};{'job': 10};;{'job': 9};;
transportation;45.84;45.84;;;{'job': 5};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;45.84;45.84;;;{'job': 6};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;45.84;45.84;;;{'job': 7};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;45.84;65.84;;;{'job': 8};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;51.12;53.53;{'job': 10};{'job': 11};;{'job': 10};;
job_arrival;53.53;55.24;{'job': 11};{'job': 12};;{'job': 11};;
job_arrival;55.24;68.67;{'job': 12};{'job': 13};;{'job': 12};;
job_arrival;68.67;80.43;{'job': 13};{'job': 14};;{'job': 13};;
transportation;68.67;68.67;;;{'job': 9};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;68.67;68.67;;;{'job': 10};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;68.67;68.67;;;{'job': 11};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;68.67;88.67;;;{'job': 12};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;80.43;83.52;{'job': 14};{'job': 15};;{'job': 14};;
job_arrival;83.52;93.13;{'job': 15};{'job': 16};;{'job': 15};;
job_arrival;93.13;107.06;{'job': 16};{'job': 17};;{'job': 16};;
job_arrival;107.06;108.96;{'job': 17};{'job': 18};;{'job': 17};;
job_arrival;108.96;120.65;{'job': 18};{'job': 19};;{'job': 18};;
transportation;108.96;108.96;;;{'job': 13};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;108.96;108.96;;;{'job': 14};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
