event;start_time;completion_time;arrival<incoming>;arrival<outgoing>;q1<incoming>;q1<outgoing>;r1<incoming>;r1<outgoing>;r2<incoming>;r2<outgoing>
pre_processing;0.0;5.0;{'job': 1};{'job': 2};;{'job': 1};{'machine_id': 1};{'machine_id': 1};;
pre_processing;5.0;10.0;{'job': 2};{'job': 3};;{'job': 2};{'machine_id': 1};{'machine_id': 1};;
processing;5.0;5.25;;;{'job': 1};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;10.0;15.0;{'job': 3};{'job': 4};;{'job': 3};{'machine_id': 1};{'machine_id': 1};;
processing;10.0;10.69;;;{'job': 2};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;15.0;20.0;{'job': 4};{'job': 5};;{'job': 4};{'machine_id': 1};{'machine_id': 1};;
processing;15.0;23.76;;;{'job': 3};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;20.0;25.0;{'job': 5};{'job': 6};;{'job': 5};{'machine_id': 1};{'machine_id': 1};;
processing;23.76;26.26;;;{'job': 4};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;25.0;30.0;{'job': 6};{'job': 7};;{'job': 6};{'machine_id': 1};{'machine_id': 1};;
processing;26.26;39.05;;;{'job': 5};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;30.0;35.0;{'job': 7};{'job': 8};;{'job': 7};{'machine_id': 1};{'machine_id': 1};;
pre_processing;35.0;40.0;{'job': 8};{'job': 9};;{'job': 8};{'machine_id': 1};{'machine_id': 1};;
processing;39.05;43.27;;;{'job': 6};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;40.0;45.0;{'job': 9};{'job': 10};;{'job': 9};{'machine_id': 1};{'machine_id': 1};;
processing;43.27;55.42;;;{'job': 7};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;45.0;50.0;{'job': 10};{'job': 11};;{'job': 10};{'machine_id': 1};{'machine_id': 1};;
pre_processing;50.0;55.0;{'job': 11};{'job': 12};;{'job': 11};{'machine_id': 1};{'machine_id': 1};;
pre_processing;55.0;60.0;{'job': 12};{'job': 13};;{'job': 12};{'machine_id': 1};{'machine_id': 1};;
processing;55.42;57.71;;;{'job': 8};;;;{'machine_id': 2};{'machine_id': 2}
processing;57.71;81.25;;;{'job': 9};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;60.0;65.0;{'job': 13};{'job': 14};;{'job': 13};{'machine_id': 1};{'machine_id': 1};;
pre_processing;65.0;70.0;{'job': 14};{'job': 15};;{'job': 14};{'machine_id': 1};{'machine_id': 1};;
processing;81.25;93.24;;;{'job': 10};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;81.25;86.25;{'job': 15};{'job': 16};;{'job': 15};{'machine_id': 1};{'machine_id': 1};;
processing;93.24;95.68;;;{'job': 11};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;93.24;98.24;{'job': 16};{'job': 17};;{'job': 16};{'machine_id': 1};{'machine_id': 1};;
processing;95.68;113.53;;;{'job': 12};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;98.24;103.24;{'job': 17};{'job': 18};;{'job': 17};{'machine_id': 1};{'machine_id': 1};;
processing;113.53;115.55;;;{'job': 13};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;113.53;118.53;{'job': 18};{'job': 19};;{'job': 18};{'machine_id': 1};{'machine_id': 1};;
processing;115.55;118.92;;;{'job': 14};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;118.53;123.53;{'job': 19};{'job': 20};;{'job': 19};{'machine_id': 1};{'machine_id': 1};;
processing;118.92;130.6;;;{'job': 15};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;123.53;128.53;{'job': 20};{'job': 21};;{'job': 20};{'machine_id': 1};{'machine_id': 1};;
processing;130.6;134.72;;;{'job': 16};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;130.6;135.6;{'job': 21};{'job': 22};;{'job': 21};{'machine_id': 1};{'machine_id': 1};;
processing;134.72;139.76;;;{'job': 17};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;135.6;140.6;{'job': 22};{'job': 23};;{'job': 22};{'machine_id': 1};{'machine_id': 1};;
processing;139.76;140.31;;;{'job': 18};;;;{'machine_id': 2};{'machine_id': 2}
processing;140.31;153.32;;;{'job': 19};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;140.6;145.6;{'job': 23};{'job': 24};;{'job': 23};{'machine_id': 1};{'machine_id': 1};;
