event;start_time;completion_time;chip supply<incoming>;chip supply<outgoing>;phone case supply<incoming>;phone case supply<outgoing>;stock chip<incoming>;stock chip<outgoing>;stock_phone_case<incoming>;stock_phone_case<outgoing>;phone resource<incoming>;phone resource<outgoing>;game resource<incoming>;game resource<outgoing>;log_timer<incoming>;log_timer<outgoing>
timer;0.0;0.5;;;;;;;;;;;;;0.0;0.0
chip_arrival;0.0;0.37;{'chip_id': 0};{'chip_id': 1};;;;{'chip_id': 1};;;;;;;;
phone_case_arrival;0.0;0.26;;;{'phone_case_id': 0};{'phone_case_id': 1};;;;{'phone_case_id': 1};;;;;;
phone_case_arrival;0.26;4.21;;;{'phone_case_id': 1};{'phone_case_id': 2};;;;{'phone_case_id': 2};;;;;;
chip_arrival;0.37;5.79;{'chip_id': 1};{'chip_id': 2};;;;{'chip_id': 2};;;;;;;;
phone_production;0.37;1.37;;;;;{'chip_id': 1};;{'phone_case_id': 1};;{'phone_id': 1};{'phone_id': 1};;;;
timer;0.5;1.0;;;;;;;;;;;;;0.0;0.0
timer;1.0;1.5;;;;;;;;;;;;;0.0;0.0
timer;1.5;2.0;;;;;;;;;;;;;0.0;0.0
timer;2.0;2.5;;;;;;;;;;;;;0.0;0.0
timer;2.5;3.0;;;;;;;;;;;;;0.0;0.0
timer;3.0;3.5;;;;;;;;;;;;;0.0;0.0
timer;3.5;4.0;;;;;;;;;;;;;0.0;0.0
timer;4.0;4.5;;;;;;;;;;;;;0.0;0.0
phone_case_arrival;4.21;5.05;;;{'phone_case_id': 2};{'phone_case_id': 3};;;;{'phone_case_id': 3};;;;;;
timer;4.5;5.0;;;;;;;;;;;;;0.0;0.0
timer;5.0;5.5;;;;;;;;;;;;;0.0;0.0
phone_case_arrival;5.05;22.41;;;{'phone_case_id': 3};{'phone_case_id': 4};;;;{'phone_case_id': 4};;;;;;
timer;5.5;6.0;;;;;;;;;;;;;0.0;0.0
game_production;5.79;6.79;;;;;{'chip_id': 2};;;;;;{'game_id': 1};{'game_id': 1};;
chip_arrival;5.79;7.08;{'chip_id': 2};{'chip_id': 3};;;;{'chip_id': 3};;;;;;;;
timer;6.0;6.5;;;;;;;;;;;;;0.0;0.0
timer;6.5;7.0;;;;;;;;;;;;;0.0;0.0
timer;7.0;7.5;;;;;;;;;;;;;0.0;0.0
chip_arrival;7.08;7.91;{'chip_id': 3};{'chip_id': 4};;;;{'chip_id': 4};;;;;;;;
phone_production;7.08;8.08;;;;;{'chip_id': 3};;{'phone_case_id': 2};;{'phone_id': 1};{'phone_id': 1};;;;
timer;7.5;8.0;;;;;;;;;;;;;0.0;0.0
chip_arrival;7.91;8.45;{'chip_id': 4};{'chip_id': 5};;;;{'chip_id': 5};;;;;;;;
game_production;7.91;8.91;;;;;{'chip_id': 4};;;;;;{'game_id': 1};{'game_id': 1};;
timer;8.0;8.5;;;;;;;;;;;;;0.0;0.0
phone_production;8.45;9.45;;;;;{'chip_id': 5};;{'phone_case_id': 3};;{'phone_id': 1};{'phone_id': 1};;;;
chip_arrival;8.45;13.91;{'chip_id': 5};{'chip_id': 6};;;;{'chip_id': 6};;;;;;;;
timer;8.5;9.0;;;;;;;;;;;;;0.0;0.0
timer;9.0;9.5;;;;;;;;;;;;;0.0;0.0
timer;9.5;10.0;;;;;;;;;;;;;0.0;0.0
timer;10.0;10.5;;;;;;;;;;;;;0.0;0.0
timer;10.5;11.0;;;;;;;;;;;;;0.0;0.0
timer;11.0;11.5;;;;;;;;;;;;;0.0;0.0
timer;11.5;12.0;;;;;;;;;;;;;0.0;0.0
timer;12.0;12.5;;;;;;;;;;;;;0.0;0.0
timer;12.5;13.0;;;;;;;;;;;;;0.0;0.0
timer;13.0;13.5;;;;;;;;;;;;;0.0;0.0
timer;13.5;14.0;;;;;;;;;;;;;0.0;0.0
chip_arrival;13.91;17.2;{'chip_id': 6};{'chip_id': 7};;;;{'chip_id': 7};;;;;;;;
game_production;13.91;14.91;;;;;{'chip_id': 6};;;;;;{'game_id': 1};{'game_id': 1};;
timer;14.0;14.5;;;;;;;;;;;;;0.0;0.0
timer;14.5;15.0;;;;;;;;;;;;;0.0;0.0
timer;15.0;15.5;;;;;;;;;;;;;0.0;0.0
timer;15.5;16.0;;;;;;;;;;;;;0.0;0.0
timer;16.0;16.5;;;;;;;;;;;;;0.0;0.0
timer;16.5;17.0;;;;;;;;;;;;;0.0;0.0
timer;17.0;17.5;;;;;;;;;;;;;0.0;0.0
