event;start_time;completion_time;arrival<incoming>;arrival<outgoing>;q1<incoming>;q1<outgoing>;r1<incoming>;r1<outgoing>
job_arrival;0.0;5.0;{'job': 1, 'value': 100};{'job': 2, 'value': 407};;{'job': 1, 'value': 100};;
job_arrival;5.0;10.0;{'job': 2, 'value': 407};{'job': 3, 'value': 332};;{'job': 2, 'value': 407};;
job_arrival;10.0;15.0;{'job': 3, 'value': 332};{'job': 4, 'value': 747};;{'job': 3, 'value': 332};;
job_arrival;15.0;20.0;{'job': 4, 'value': 747};{'job': 5, 'value': 992};;{'job': 4, 'value': 747};;
job_arrival;20.0;25.0;{'job': 5, 'value': 992};{'job': 6, 'value': 774};;{'job': 5, 'value': 992};;
job_arrival;25.0;30.0;{'job': 6, 'value': 774};{'job': 7, 'value': 723};;{'job': 6, 'value': 774};;
job_handling;25.0;32.0;;;{'job': 5, 'value': 992};;{'worker_id': 1};{'worker_id': 1}
job_arrival;30.0;35.0;{'job': 7, 'value': 723};{'job': 8, 'value': 251};;{'job': 7, 'value': 723};;
job_handling;32.0;39.0;;;{'job': 6, 'value': 774};;{'worker_id': 1};{'worker_id': 1}
job_arrival;35.0;40.0;{'job': 8, 'value': 251};{'job': 9, 'value': 799};;{'job': 8, 'value': 251};;
job_handling;39.0;46.0;;;{'job': 4, 'value': 747};;{'worker_id': 1};{'worker_id': 1}
job_arrival;40.0;45.0;{'job': 9, 'value': 799};{'job': 10, 'value': 808};;{'job': 9, 'value': 799};;
job_arrival;45.0;50.0;{'job': 10, 'value': 808};{'job': 11, 'value': 761};;{'job': 10, 'value': 808};;
job_arrival;50.0;55.0;{'job': 11, 'value': 761};{'job': 12, 'value': 149};;{'job': 11, 'value': 761};;
job_handling;50.0;57.0;;;{'job': 10, 'value': 808};;{'worker_id': 1};{'worker_id': 1}
job_arrival;55.0;60.0;{'job': 12, 'value': 149};{'job': 13, 'value': 278};;{'job': 12, 'value': 149};;
job_handling;57.0;64.0;;;{'job': 9, 'value': 799};;{'worker_id': 1};{'worker_id': 1}
job_arrival;60.0;65.0;{'job': 13, 'value': 278};{'job': 14, 'value': 197};;{'job': 13, 'value': 278};;
job_handling;64.0;71.0;;;{'job': 11, 'value': 761};;{'worker_id': 1};{'worker_id': 1}
job_arrival;65.0;70.0;{'job': 14, 'value': 197};{'job': 15, 'value': 765};;{'job': 14, 'value': 197};;
job_arrival;70.0;75.0;{'job': 15, 'value': 765};{'job': 16, 'value': 924};;{'job': 15, 'value': 765};;
job_arrival;75.0;80.0;{'job': 16, 'value': 924};{'job': 17, 'value': 523};;{'job': 16, 'value': 924};;
job_arrival;80.0;85.0;{'job': 17, 'value': 523};{'job': 18, 'value': 173};;{'job': 17, 'value': 523};;
job_handling;80.0;87.0;;;{'job': 16, 'value': 924};;{'worker_id': 1};{'worker_id': 1}
job_arrival;85.0;90.0;{'job': 18, 'value': 173};{'job': 19, 'value': 839};;{'job': 18, 'value': 173};;
job_handling;87.0;94.0;;;{'job': 15, 'value': 765};;{'worker_id': 1};{'worker_id': 1}
job_arrival;90.0;95.0;{'job': 19, 'value': 839};{'job': 20, 'value': 521};;{'job': 19, 'value': 839};;
job_arrival;95.0;100.0;{'job': 20, 'value': 521};{'job': 21, 'value': 829};;{'job': 20, 'value': 521};;
job_handling;95.0;102.0;;;{'job': 19, 'value': 839};;{'worker_id': 1};{'worker_id': 1}
job_arrival;100.0;105.0;{'job': 21, 'value': 829};{'job': 22, 'value': 785};;{'job': 21, 'value': 829};;
job_arrival;105.0;110.0;{'job': 22, 'value': 785};{'job': 23, 'value': 210};;{'job': 22, 'value': 785};;
job_handling;105.0;112.0;;;{'job': 21, 'value': 829};;{'worker_id': 1};{'worker_id': 1}
job_arrival;110.0;115.0;{'job': 23, 'value': 210};{'job': 24, 'value': 771};;{'job': 23, 'value': 210};;
job_handling;112.0;119.0;;;{'job': 22, 'value': 785};;{'worker_id': 1};{'worker_id': 1}
job_arrival;115.0;120.0;{'job': 24, 'value': 771};{'job': 25, 'value': 676};;{'job': 24, 'value': 771};;
job_arrival;120.0;125.0;{'job': 25, 'value': 676};{'job': 26, 'value': 798};;{'job': 25, 'value': 676};;
job_handling;120.0;127.0;;;{'job': 24, 'value': 771};;{'worker_id': 1};{'worker_id': 1}
job_arrival;125.0;130.0;{'job': 26, 'value': 798};{'job': 27, 'value': 976};;{'job': 26, 'value': 798};;
